Task ID;Status;Reservation ID;Listing;Can start from;Should end by;Cost;Cost currency;Categories
4834463;To Do;26818037;Ant Jokai 12 / 2 (rozsaszin);2024.05.05 11:00;2024.05.05 15:00;18;EUR;Cleaning
4834464;To Do;26836597;Ant Jokai 12 / 2 (rozsaszin);2024.05.12 11:00;2024.05.12 15:00;18;EUR;Cleaning
4834465;To Do;26851680;Ant Jokai 12 / 2 (rozsaszin);2024.05.16 11:00;2024.05.16 15:00;18;EUR;Cleaning
4834466;To Do;26858458;Ant Jokai 12 / 2 (rozsaszin);2024.05.24 11:00;2024.05.24 15:00;18;EUR;Cleaning
4834467;To Do;26883735;Ant Jokai 12 / 2 (rozsaszin);2024.05.20 11:00;2024.05.20 15:00;18;EUR;Cleaning
4834468;To Do;27059807;Ant Jokai 12 / 2 (rozsaszin);2024.05.28 11:00;2024.05.28 15:00;18;EUR;Cleaning
4834469;To Do;26885923;Ant Jokai 12 / 1 (kek);2024.05.19 11:00;;18;EUR;Cleaning
4834470;To Do;26630971;Ant Dohany 37 / 2 (anyag);2024.05.03 11:00;2024.05.03 15:00;18;EUR;Cleaning
4834471;To Do;26837112;Ant Dohany 37 / 2 (anyag);2024.05.06 11:00;2024.05.07 15:00;18;EUR;Cleaning
4834472;Done;26892540;Ant Dohany 37 / 2 (anyag);2024.04.28 11:00;2024.04.29 15:00;18;EUR;Cleaning
4834473;To Do;26906362;Ant Dohany 37 / 2 (anyag);2024.05.12 11:00;2024.05.13 15:00;18;EUR;Cleaning
4834474;To Do;26951497;Ant Dohany 37 / 2 (anyag);2024.05.19 11:00;2024.05.19 15:00;18;EUR;Cleaning
4834475;To Do;26977281;Ant Dohany 37 / 2 (anyag);2024.05.23 11:00;2024.05.26 15:00;18;EUR;Cleaning
4834476;To Do;27120658;Ant Dohany 37 / 2 (anyag);2024.05.16 11:00;2024.05.16 15:00;18;EUR;Cleaning
4834477;To Do;27124488;Ant Dohany 37 / 2 (anyag);2024.05.30 11:00;2024.06.14 15:00;18;EUR;Cleaning
